"Teilnehmer,""Startzeit"",""Endzeit"",""Quelle"",""Teilnahme nummer"",""Wie alt bist du"",""Geschlecht"",""höchster Bildungsabschluss"""
"1,""10.01.2024 14:51:56"",""10.01.2024 14:52:32"",""Direkter Link"",""56"",""22"",""Männlich"",""Abitur"""
"2,""11.01.2024 16:16:33"",""11.01.2024 16:16:55"",""Direkter Link"",""52"",""23"",""Männlich"",""Abitur"""
"3,""11.01.2024 16:44:55"",""11.01.2024 16:45:46"",""Direkter Link"",""02"",""26"",""Männlich"",""Abitur"""
"4,""11.01.2024 16:51:09"",""11.01.2024 16:51:39"",""Direkter Link"",""11"",""28"",""Männlich"",""Schule"""
"5,""11.01.2024 17:05:39"",""11.01.2024 17:06:01"",""Direkter Link"",""59"",""36"",""Weiblich"",""Dr. phil."""
"6,""11.01.2024 17:40:35"",""11.01.2024 17:40:57"",""Direkter Link"",""27"",""28"",""Männlich"",""Master"""
"7,""12.01.2024 13:55:14"",""12.01.2024 13:55:55"",""Direkter Link"",""12"",""33"",""Männlich"",""Bachelor"""
"8,""12.01.2024 14:01:24"",""12.01.2024 14:02:29"",""Direkter Link"",""51"",""27"",""Männlich"",""Ausbildung"""
"9,""12.01.2024 14:24:09"",""12.01.2024 14:24:58"",""Direkter Link"",""32"",""25"",""Männlich"",""Bachelor"""
"10,""12.01.2024 14:45:10"",""12.01.2024 14:45:54"",""Direkter Link"",""24"",""22"",""Männlich"",""Abitur"""
"11,""12.01.2024 15:22:20"",""12.01.2024 15:22:44"",""Direkter Link"",""99"",""27"",""Männlich"",""Bachelor"""
"12,""12.01.2024 14:45:39"",""12.01.2024 14:47:05"",""Direkter Link"",""09"",""31"",""Männlich"",""Master """
"13,""12.01.2024 14:48:08"",""12.01.2024 14:48:36"",""Direkter Link"",""84"",""22"",""Männlich"",""Abitur"""
"14,""12.01.2024 15:48:59"",""12.01.2024 15:49:54"",""Direkter Link"",""18"",""31"",""Männlich"",""Master"""
"15,""12.01.2024 14:51:07"",""12.01.2024 14:51:47"",""Direkter Link"",""61"",""28"",""Männlich"",""bachelor """
"16,""12.01.2024 15:55:06"",""12.01.2024 15:55:44"",""Direkter Link"",""88"",""29"",""Männlich"",""Bachelor"""
"17,""12.01.2024 16:12:21"",""12.01.2024 16:12:37"",""Direkter Link"",""43"",""28"",""Männlich"",""Bachelor"""
"18,""12.01.2024 15:18:35"",""12.01.2024 15:18:55"",""Direkter Link"",""22"",""26"",""Weiblich"",""Bachelor"""
"19,""12.01.2024 15:20:01"",""12.01.2024 15:20:24"",""Direkter Link"",""24"",""27"",""Männlich"",""Bachelor"""
"20,""12.01.2024 16:21:31"",""12.01.2024 16:22:22"",""Direkter Link"",""06"",""45"",""Männlich"",""PhD"""
